iter	Passed	Remaining
883	1767	231
884	1768	229
885	1770	227
886	1772	225
887	1773	223
888	1775	221
889	1776	219
890	1778	217
891	1780	215
892	1781	213
893	1783	211
894	1785	209
895	1786	207
896	1788	205
897	1790	203
898	1792	201
899	1793	199
900	1795	197
901	1797	195
902	1798	193
903	1800	191
904	1802	189
905	1803	187
906	1805	185
907	1807	183
908	1808	181
909	1810	179
910	1811	177
911	1813	174
912	1815	172
913	1816	170
914	1818	168
915	1820	166
916	1821	164
917	1823	162
918	1825	160
919	1827	158
920	1828	156
921	1830	154
922	1832	152
923	1833	150
924	1835	148
925	1837	146
926	1838	144
927	1840	142
928	1842	140
929	1843	138
930	1845	136
931	1847	134
932	1849	132
933	1850	130
934	1852	128
935	1854	126
936	1855	124
937	1857	122
938	1859	120
939	1861	118
940	1862	116
941	1864	114
942	1866	112
943	1868	110
944	1869	108
945	1871	106
946	1873	104
947	1875	102
948	1876	100
949	1878	98
950	1880	96
951	1881	94
952	1883	92
953	1885	90
954	1886	88
955	1888	86
956	1890	84
957	1891	82
958	1893	80
959	1895	78
960	1897	76
961	1899	75
962	1900	73
963	1902	71
964	1904	69
965	1906	67
966	1907	65
967	1909	63
968	1911	61
969	1912	59
970	1914	57
971	1916	55
972	1918	53
973	1920	51
974	1921	49
975	1923	47
976	1925	45
977	1927	43
978	1928	41
979	1930	39
980	1933	37
981	1935	35
982	1938	33
983	1939	31
984	1941	29
985	1943	27
986	1945	25
987	1948	23
988	1950	21
989	1952	19
990	1954	17
991	1956	15
992	1958	13
993	1960	11
994	1961	9
995	1963	7
996	1965	5
997	1966	3
998	1968	1
999	1970	0
